pose_idx,j1_deg,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,chassis_z_m,droll_deg,dpitch_deg,dz_chassis_m,max_hub_lift_m,physics_tipped,converged
676,149.508,-120.630,-5.253,62.040,-120.630,174.747,-117.960,149.448,-120.648,-5.269,62.038,0.059,0.0001,-1.3502,4.4507,0.8384,1.3495,-4.4488,-0.8394,-0.059021,0.424766,-0.339328,-0.183352,-0.309655,-0.016281,-0.078713,0.039368,-0.192024,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
677,-1.110,28.102,90.046,-96.911,28.102,-89.954,83.089,-1.104,27.887,90.068,-96.915,0.215,-0.0007,14.7017,4.6543,1.7747,-14.7186,-4.6799,-1.7748,0.544242,0.273855,-0.185344,0.317443,0.169512,0.451909,-0.081817,0.569574,-0.036090,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
678,-131.628,91.595,-145.048,49.368,91.595,34.952,-130.632,-131.632,91.701,-144.967,49.364,0.106,0.0001,-2.1470,-1.7921,1.9002,2.0846,1.7677,-1.8993,0.046290,0.375627,0.432328,-0.010018,0.359728,-0.179756,0.588717,-0.053839,0.579726,-180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
679,-48.464,-46.782,-25.844,46.533,-46.782,154.156,-133.467,-48.508,-46.911,-25.781,46.530,0.129,-0.0005,7.6576,-0.1238,1.7103,-7.6642,0.1288,-1.7101,0.227702,0.545929,-0.193561,0.246428,-0.262255,0.161312,0.009779,0.274685,-0.045743,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
680,-155.820,132.329,-0.423,29.936,132.329,179.577,-150.064,-155.812,132.437,-0.514,29.940,0.107,-0.0002,-5.3757,2.3056,-1.8099,5.3598,-2.3037,1.8093,0.149359,0.333940,-0.054419,-0.242331,0.266045,-0.051950,0.053908,-0.171902,0.093248,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
681,-107.288,-45.715,119.178,-18.096,-45.715,-60.822,161.904,-107.218,-45.732,119.298,-18.099,0.119,-0.0008,7.2797,-0.6634,1.0796,-7.2756,0.6706,-1.0821,-0.002961,0.650425,-0.574322,0.251271,-0.257619,0.170143,-0.530868,0.241885,-0.426998,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
682,-173.639,-117.609,113.118,-94.336,-117.609,-66.882,85.664,-173.650,-117.299,113.124,-94.335,0.310,0.0025,-11.6584,-6.4297,-0.2832,11.7053,6.4313,0.2922,0.445797,0.297647,-0.571093,-0.166774,-0.318890,-0.450938,-0.296573,-0.470308,-0.421316,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
683,-16.819,30.257,125.376,60.355,30.257,-54.624,-119.645,-16.831,30.022,125.487,60.359,0.235,0.0012,13.9200,4.0619,-1.5438,-13.8988,-4.0688,1.5407,0.458971,0.419208,-0.159288,0.310843,0.181332,0.570490,0.063730,0.468347,-0.010450,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
684,48.434,-28.596,71.234,-74.859,-28.596,-108.766,105.141,48.554,-28.674,71.301,-74.862,0.120,-0.0035,7.0575,-2.9244,1.6100,-7.0731,2.9192,-1.6109,0.067643,0.205441,-0.580269,0.315971,-0.172241,0.106285,-0.365318,0.213083,-0.432625,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
685,-56.415,-174.532,11.000,-43.843,-174.532,-169.000,136.157,-56.411,-174.446,10.942,-43.839,0.085,-0.0000,-7.1102,4.2123,-1.6907,7.1141,-4.2145,1.6909,-0.125429,0.242446,-0.043135,-0.358229,-0.034294,-0.084884,0.046511,-0.196987,0.104555,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
686,-28.663,-154.858,118.037,89.357,-154.858,-61.963,-90.643,-28.656,-154.564,117.892,89.354,0.294,-0.0598,-14.9295,-4.0335,1.2192,14.0735,3.7713,-1.1582,-0.455513,0.230336,-0.031129,-0.325773,-0.152894,-0.553948,0.017937,-0.477161,0.118135,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
687,165.315,-109.700,134.382,-39.628,-109.700,-45.618,140.372,165.187,-109.458,134.518,-39.632,0.242,0.0028,-7.5383,-3.7396,1.8434,7.5920,3.7557,-1.8397,0.242502,0.456137,-0.639027,-0.121311,-0.338804,-0.380309,-0.457828,-0.258342,-0.490387,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000001,False,True
688,90.707,96.959,-7.026,-48.972,96.959,172.974,131.028,90.732,96.933,-7.024,-48.975,0.026,0.0000,0.0553,1.4287,1.4386,-0.0520,-1.4307,-1.4379,-0.054241,0.362651,0.007679,-0.043600,0.357216,-0.043932,0.072178,0.051397,0.154932,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
689,14.708,141.134,174.838,94.674,141.134,-5.162,-85.326,14.684,141.453,174.684,94.671,0.318,-0.0010,-12.1517,-3.2423,1.2029,12.0812,3.2202,-1.2074,-0.391936,0.553107,0.372393,-0.280199,0.225816,-0.485144,0.423919,-0.405096,0.521532,-180.000,-0.000,-0.032927,0.000,-0.000,0.000000,0.000001,False,True
690,-77.565,16.431,134.935,-82.814,16.431,-45.065,97.186,-77.637,16.117,134.963,-82.818,0.314,2.2193,14.8362,4.2081,1.5838,-17.0168,-6.1011,-0.6963,0.302112,0.886251,-0.383099,0.345171,0.101790,0.595348,-0.034807,0.641508,0.082689,-143.521,7.545,0.018050,36.479,7.545,0.050977,0.117460,True,True
691,142.919,-141.996,3.769,-67.862,-141.996,-176.231,112.138,142.819,-141.893,3.778,-67.858,0.103,-0.0022,-6.0871,2.8744,-1.7126,6.0849,-2.8825,1.7101,0.156404,0.499508,-0.123722,-0.283565,-0.221574,-0.070985,-0.031688,-0.184361,0.023828,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
692,-95.365,12.391,-155.056,-12.336,12.391,24.944,167.664,-95.422,12.083,-155.100,-12.333,0.308,0.0026,14.3314,3.1931,-1.7325,-14.2858,-3.1705,1.7258,0.092034,0.848819,0.046894,0.351485,0.077220,0.578122,0.250086,0.463709,0.196740,-179.993,0.000,-0.032916,0.007,0.000,0.000012,0.000031,False,True
693,-62.877,128.018,-99.183,57.535,128.018,80.817,-122.465,-62.814,128.171,-99.163,57.534,0.153,-0.1775,-11.9938,-5.1909,0.1407,12.2832,5.2739,-0.1206,-0.265497,0.011491,0.123487,-0.221645,0.283510,-0.471343,0.146038,-0.463349,0.272023,-179.999,0.001,-0.032927,0.001,0.001,0.000001,0.000005,False,True
694,147.263,89.812,99.503,76.872,89.812,-80.497,-103.128,147.287,89.689,99.500,76.872,0.123,0.0001,6.0219,5.9520,-0.1321,-5.9875,-5.9502,0.1266,-0.265771,0.326784,0.132220,0.001181,0.359865,0.282461,0.406004,0.274067,0.280046,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
695,10.635,-75.205,-139.984,51.127,-75.205,40.016,-128.873,10.759,-75.428,-140.074,51.131,0.223,-0.0015,6.0554,3.1840,-1.8340,-6.1079,-3.2017,1.8309,0.175212,0.281693,-0.695051,0.091898,-0.347936,0.324847,-0.512197,0.203462,-0.546861,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
696,87.234,-135.399,-10.872,95.235,-135.399,169.128,-84.765,87.197,-135.453,-10.939,95.232,0.067,-0.0007,-1.7855,6.3248,1.1950,1.7842,-6.3189,-1.1974,-0.039740,0.337503,-0.340226,-0.256232,-0.252685,-0.019172,-0.094414,0.060210,-0.192570,180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
697,32.668,144.245,37.747,-96.631,144.245,-142.253,83.369,32.666,144.224,37.728,-96.631,0.022,-0.0000,-2.9232,6.3101,0.1554,2.9272,-6.3083,-0.1540,-0.018166,0.365163,0.198682,-0.292042,0.210276,-0.007176,0.220185,0.003033,0.346009,-180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
698,55.238,127.472,136.205,23.901,127.472,-43.795,-156.099,55.179,127.468,136.207,23.900,0.059,0.0058,-5.6902,1.2483,0.5776,5.6702,-1.2533,-0.5751,-0.085081,0.516301,0.301354,-0.218933,0.285609,-0.187540,0.568914,-0.149416,0.448570,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
699,-72.222,-160.662,124.961,-76.731,-160.662,-55.039,103.269,-72.191,-160.269,124.944,-76.729,0.393,-0.0376,-16.4891,-5.7542,-0.7180,16.4657,5.7273,0.7266,-0.277481,-0.161054,-0.220976,-0.339565,-0.119164,-0.571036,0.047174,-0.619207,-0.069512,179.990,-0.003,-0.032910,-0.010,-0.003,0.000018,0.000043,False,True
700,-93.106,116.523,95.140,82.073,116.523,-84.860,-97.927,-93.096,116.449,95.070,82.071,0.074,0.0015,0.9683,6.0207,0.7597,-0.9259,-6.0079,-0.7664,0.057748,0.517423,0.208298,-0.160700,0.321994,0.081911,0.471616,0.132724,0.356056,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
701,-63.903,-145.003,-33.230,87.061,-145.003,146.770,-92.939,-63.925,-145.024,-33.243,87.062,0.022,-0.0010,-3.2113,6.1163,-0.0403,3.2065,-6.1161,0.0389,0.021896,0.360490,-0.471105,-0.294798,-0.206394,-0.009895,-0.197607,-0.012477,-0.323819,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,-0.000000,False,True
702,-124.041,-157.218,-128.790,-39.394,-157.218,51.210,140.606,-123.943,-157.108,-128.838,-39.398,0.110,0.0995,-10.8966,-0.2176,1.6025,10.6233,0.1308,-1.5674,0.147684,0.119358,-0.489491,-0.331792,-0.139351,-0.410398,-0.413336,-0.306484,-0.341657,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000001,False,True
703,134.753,93.096,61.074,65.542,93.096,-118.926,-114.458,134.779,93.048,61.076,65.545,0.048,0.0001,3.4719,4.0752,-1.4661,-3.4633,-4.0780,1.4648,-0.132574,0.343225,0.007150,-0.019438,0.359342,0.237123,0.235150,0.140012,0.154493,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
704,-78.031,13.072,-114.736,26.055,13.072,65.264,-153.945,-78.050,12.962,-114.691,26.054,0.110,0.0603,12.7718,1.7104,0.4732,-12.8037,-1.7183,-0.4732,0.214361,0.778664,0.090270,0.350542,0.081392,0.408170,0.360544,0.439545,0.238267,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
705,22.136,-30.763,22.073,-79.902,-30.763,-157.927,100.098,22.178,-30.791,22.086,-79.902,0.042,-0.0003,3.7358,-6.0409,0.0463,-3.7385,6.0405,-0.0468,0.009412,0.346284,-0.414506,0.309231,-0.184066,0.027464,-0.141003,0.030567,-0.267203,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
706,105.111,145.390,173.044,20.554,145.390,-6.956,-159.446,105.104,145.691,173.024,20.550,0.301,-0.0005,-12.2598,-2.8506,1.7823,12.1964,2.8299,-1.7775,0.154207,0.756097,0.199001,-0.296186,0.204398,-0.509451,0.393514,-0.391607,0.348250,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
707,102.177,122.149,18.112,95.211,122.149,-161.888,-84.789,102.207,122.176,18.138,95.214,0.030,-0.0000,-2.3993,3.6609,-1.0778,2.3998,-3.6560,1.0793,-0.009198,0.445003,-0.128722,-0.191495,0.304687,0.027689,0.122463,-0.043863,0.018462,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
708,-22.181,-159.256,52.400,-38.381,-159.256,-127.600,141.619,-22.190,-159.161,52.278,-38.378,0.122,0.0002,-10.4141,0.2241,-1.5651,10.4213,-0.2213,1.5643,-0.342798,0.296464,-0.074426,-0.336537,-0.127465,-0.253889,0.145329,-0.357595,0.073349,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
709,-8.547,41.791,63.927,-99.772,41.791,-116.073,80.228,-8.549,41.613,63.896,-99.776,0.179,-0.0003,12.0705,3.5488,1.8980,-12.0471,-3.5622,-1.8939,0.471042,0.327252,-0.170282,0.268308,0.239823,0.345529,-0.034557,0.471088,-0.021478,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
710,178.093,98.016,118.940,95.358,98.016,-61.060,-84.642,178.083,97.878,118.738,95.355,0.202,0.0054,4.6558,6.2172,1.2738,-4.6157,-6.2027,-1.2819,-0.250227,0.471712,0.285414,-0.050185,0.356351,0.177589,0.527717,0.262572,0.434369,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
711,62.855,18.177,-23.407,-17.203,18.177,156.593,162.797,62.873,18.114,-23.254,-17.207,0.153,-0.0001,6.4460,-4.3734,1.7616,-6.4402,4.3723,-1.7600,0.015692,0.213585,-0.057797,0.341910,0.112260,0.058058,0.138244,0.174742,0.090070,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
712,113.270,173.882,-0.896,-13.813,173.882,179.104,166.187,113.229,173.990,-1.061,-13.809,0.164,0.0003,-6.9876,4.3334,-1.7796,6.9834,-4.3322,1.7797,0.087932,0.567920,-0.099637,-0.357818,0.038353,-0.074912,0.003545,-0.192901,0.048430,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
713,144.919,66.977,-116.650,42.522,66.977,63.350,-137.478,144.939,67.022,-116.477,42.518,0.173,-0.0005,2.3298,-2.1131,1.8903,-2.3550,2.0958,-1.8893,-0.083943,0.391068,0.385441,0.140744,0.331203,-0.043719,0.548506,0.081537,0.532793,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
714,103.532,-142.509,41.285,20.877,-142.509,-138.715,-159.123,103.439,-142.489,41.305,20.876,0.094,0.0163,-7.5764,1.5357,0.3153,7.5118,-1.5179,-0.3193,0.063579,0.594111,-0.211165,-0.285534,-0.219031,-0.230054,0.060556,-0.208886,-0.063894,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000001,False,True
715,-113.335,-108.613,-73.527,-39.603,-108.613,106.473,140.397,-113.342,-108.670,-73.587,-39.600,0.060,0.0000,1.0929,4.7354,-1.4184,-1.1007,-4.7330,1.4208,0.021808,0.471915,-0.415147,-0.114859,-0.341045,0.169981,-0.351688,0.075790,-0.267641,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
716,22.381,117.448,2.745,-80.004,117.448,-177.255,99.996,22.414,117.408,2.694,-80.007,0.050,-0.0001,-0.6932,4.5457,1.4567,0.6942,-4.5516,-1.4546,0.044940,0.321561,0.006956,-0.165881,0.319356,-0.022529,0.072987,0.073907,0.154450,-180.000,0.000,-0.032928,-0.000,-0.000,-0.000000,-0.000000,False,True
717,-143.318,178.832,95.961,65.473,178.832,-84.039,-114.527,-143.325,178.934,95.878,65.468,0.101,-0.0001,-10.1056,1.2760,1.7930,10.1003,-1.2778,-1.7923,0.202716,0.213672,0.100913,-0.359792,0.007333,-0.383609,0.291375,-0.264785,0.248749,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
718,55.052,-144.598,-173.675,-3.325,-144.598,6.325,176.675,55.064,-144.270,-173.628,-3.328,0.328,-0.0137,-12.3381,-3.0890,1.4864,12.3799,3.1037,-1.4922,-0.183981,0.752156,-0.469409,-0.293330,-0.208475,-0.506060,-0.398193,-0.407132,-0.319776,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
719,163.926,-143.881,23.010,34.495,-143.881,-156.990,-145.505,163.841,-143.838,23.007,34.494,0.085,0.0006,-5.9108,3.2780,0.1215,5.9129,-3.2801,-0.1203,0.137105,0.434119,-0.240795,-0.290700,-0.212127,-0.144441,0.032527,-0.136464,-0.093459,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
720,4.584,94.819,-117.560,72.101,94.819,62.440,-107.899,4.600,94.944,-117.483,72.098,0.124,-0.0524,-5.4805,-4.4655,1.2294,5.3953,4.4392,-1.2402,-0.209690,0.420628,0.416643,-0.030234,0.358595,-0.293115,0.468779,-0.210897,0.564571,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
721,-24.130,-156.832,-79.422,-96.456,-156.832,100.578,83.544,-24.159,-156.846,-79.574,-96.459,0.152,-0.0025,-5.3677,5.1041,1.6962,5.3496,-5.1130,-1.6922,-0.049287,0.345776,-0.468645,-0.330847,-0.141579,-0.172506,-0.378593,-0.060319,-0.320713,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
722,-167.097,-155.318,-167.503,71.877,-155.318,12.497,-108.123,-167.069,-154.882,-167.456,71.878,0.436,-0.0727,-15.7902,-5.5018,-0.6389,15.8688,5.5281,0.6217,0.554916,0.169061,-0.355147,-0.326990,-0.150272,-0.554097,-0.322521,-0.595312,-0.203200,180.000,0.001,-0.032926,-0.000,0.001,0.000002,0.000005,False,True
723,165.519,139.974,-118.993,50.359,139.974,61.007,-129.641,165.527,140.194,-118.936,50.358,0.220,0.0023,-13.8842,-5.1395,0.6003,13.8551,5.1405,-0.6092,0.503920,0.444334,0.099623,-0.275569,0.231444,-0.541710,0.129385,-0.501319,0.248987,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
724,-142.919,108.162,175.187,89.364,108.162,-4.813,-90.636,-142.934,108.229,174.947,89.360,0.239,-0.0009,-3.1117,0.4525,1.8587,3.1116,-0.4357,-1.8575,0.064250,0.372001,0.499518,-0.112172,0.341938,-0.177980,0.619277,-0.054837,0.647057,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
725,-165.212,137.363,179.468,-53.282,137.363,-0.532,126.718,-165.228,137.726,179.492,-53.281,0.363,-0.0224,-13.1389,-4.7199,-0.2009,13.0773,4.7052,0.2139,0.454035,0.199122,0.162942,-0.264739,0.243758,-0.472628,0.438768,-0.486812,0.313329,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
726,-91.416,54.185,79.145,-35.516,54.185,-100.855,144.484,-91.445,54.107,79.111,-35.515,0.078,0.0006,10.6368,3.9625,-0.2551,-10.6262,-3.9667,0.2589,0.109378,0.767290,0.061683,0.210584,0.291820,0.406178,0.084479,0.389014,0.209544,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
727,-156.409,-63.887,40.268,32.296,-63.887,-139.732,-147.704,-156.343,-63.866,40.379,32.292,0.110,-0.0004,1.2521,-3.7687,1.8821,-1.2492,3.7598,-1.8823,0.005370,0.431324,-0.337380,0.158394,-0.323134,-0.102769,-0.208935,0.022024,-0.189890,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
728,-16.158,146.273,99.723,85.159,146.273,-80.277,-94.841,-16.142,146.260,99.560,85.155,0.162,0.0003,-5.2731,4.1883,1.6647,5.2919,-4.1730,-1.6679,-0.066348,0.352794,0.251438,-0.299298,0.199813,-0.183341,0.460199,-0.072767,0.399294,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
729,5.792,-72.460,142.760,98.534,-72.460,-37.240,-81.466,5.776,-72.379,143.116,98.538,0.356,0.0002,-0.4631,-3.9063,-1.8716,0.5141,3.9439,1.8681,-0.110879,0.393043,-0.735786,0.108457,-0.343135,0.012371,-0.611491,-0.111477,-0.587044,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
730,-67.475,-80.816,6.950,-16.652,-80.816,-173.050,163.348,-67.342,-80.801,6.953,-16.652,0.133,0.0004,0.0858,-1.7278,-0.0176,-0.0879,1.7284,0.0172,0.017832,0.353249,-0.354912,0.057436,-0.355254,-0.021770,-0.081441,-0.022913,-0.207674,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
731,-161.654,139.104,-167.298,7.846,139.104,12.702,-172.154,-161.668,139.434,-167.219,7.842,0.329,-0.0015,-12.3968,-3.6867,1.8011,12.2445,3.6421,-1.7853,0.370701,0.213203,0.176640,-0.272024,0.235600,-0.523245,0.370267,-0.404884,0.326372,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
732,-139.824,65.096,75.382,-65.890,65.096,-104.618,114.110,-139.874,64.965,75.398,-65.891,0.131,-0.0217,10.0663,5.2539,0.5091,-10.0485,-5.2562,-0.5060,-0.217597,0.733059,0.118634,0.151539,0.326405,0.371414,0.145016,0.404961,0.266715,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
733,-41.578,142.442,174.457,38.795,142.442,-5.543,-141.205,-41.474,142.733,174.350,38.791,0.291,0.1002,-11.9166,-2.6924,1.9210,11.6192,2.5975,-1.8988,-0.302475,0.181658,0.255713,-0.285280,0.219362,-0.493400,0.414126,-0.367519,0.404648,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000001,False,True
734,-158.210,-123.876,-87.101,67.474,-123.876,92.899,-112.526,-158.221,-123.869,-87.201,67.477,0.100,-0.0042,-2.5096,3.7721,-1.5241,2.5943,-3.7491,1.5307,0.070226,0.386682,-0.668058,-0.200587,-0.298780,0.043800,-0.445485,-0.057681,-0.520570,-180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
735,71.348,162.827,-13.152,59.730,162.827,166.848,-120.270,71.313,162.939,-13.169,59.733,0.112,0.0004,-7.2174,3.6636,-1.6575,7.2164,-3.6566,1.6588,-0.053377,0.593804,-0.247319,-0.343823,0.106255,-0.097786,-0.037665,-0.207762,-0.099644,180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
736,-105.473,40.587,-49.941,-30.831,40.587,130.059,149.169,-105.496,40.584,-49.847,-30.835,0.094,-0.0001,4.0238,-4.6220,1.4566,-4.0210,4.6215,-1.4547,0.031913,0.481564,0.051465,0.273289,0.234131,-0.007959,0.280460,0.088481,0.199003,180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
737,-71.254,60.493,-39.432,92.653,60.493,140.568,-87.347,-71.270,60.539,-39.398,92.654,0.046,-0.0002,-0.9195,-6.5134,-0.7693,0.9072,6.5124,0.7658,-0.039792,0.254091,0.178810,0.177247,0.313190,-0.088750,0.210758,-0.139519,0.326337,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
738,-38.115,149.062,79.704,-75.931,149.062,-100.296,104.069,-38.066,149.102,79.626,-75.927,0.078,-0.0302,-7.3476,2.3776,-1.6863,7.3963,-2.3649,1.6941,-0.191826,0.259489,0.309505,-0.308666,0.185012,-0.120786,0.399368,-0.233100,0.457002,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
739,-30.021,-42.929,-43.774,-1.206,-42.929,136.226,178.794,-30.054,-42.946,-43.766,-1.206,0.034,0.0024,8.0445,-0.2834,0.0688,-8.0481,0.2847,-0.0695,0.253223,0.436149,-0.233992,0.263494,-0.245102,0.247103,0.039465,0.251708,-0.086689,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
740,-179.402,79.047,158.790,10.919,79.047,-21.210,-169.081,-179.471,78.881,158.771,10.921,0.166,0.0615,4.7391,2.5837,-0.6888,-4.7505,-2.5881,0.6899,-0.160660,0.462970,0.329180,0.068376,0.353312,0.220110,0.594608,0.174370,0.476948,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000001,False,True
741,-139.655,50.523,104.277,7.303,50.523,-75.723,-172.697,-139.706,50.466,104.106,7.307,0.171,0.0525,11.1264,3.7916,-1.8270,-10.9953,-3.7599,1.8120,-0.192838,0.702691,0.047200,0.228794,0.277773,0.486704,0.156408,0.366575,0.195203,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000001,False,True
742,130.595,103.591,-170.047,51.578,103.591,9.953,-128.422,130.691,103.689,-170.126,51.574,0.098,-0.0052,-3.3145,-0.6214,1.8397,3.2938,0.6195,-1.8403,0.044566,0.464567,0.431310,-0.084565,0.349790,-0.198424,0.611101,-0.076418,0.578688,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
743,-179.556,142.899,114.678,21.921,142.899,-65.322,-158.079,-179.547,142.906,114.688,21.921,0.010,0.0018,-7.4393,1.6379,0.3147,7.4378,-1.6390,-0.3142,0.210650,0.379005,0.223697,-0.287022,0.217078,-0.225702,0.495443,-0.204870,0.370935,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
744,2.940,64.822,98.229,-84.574,64.822,-81.771,95.426,2.931,64.618,98.232,-84.575,0.204,-0.0009,11.1595,6.2747,0.3881,-11.1125,-6.2709,-0.3804,0.430984,0.240320,0.217468,0.153099,0.325676,0.425757,0.242580,0.450976,0.366273,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
745,-3.779,-155.650,5.938,-64.030,-155.650,-174.062,115.970,-3.812,-155.562,5.936,-64.026,0.087,0.0013,-6.6357,3.7288,-1.5855,6.6339,-3.7341,1.5834,-0.186387,0.385396,-0.082022,-0.327854,-0.148378,-0.081723,-0.004620,-0.186696,0.065499,-180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
746,-60.086,-114.069,-1.146,6.448,-114.069,178.854,-173.552,-60.331,-114.065,-1.208,6.449,0.244,0.0078,-2.6307,2.0196,-0.6165,2.6306,-2.0108,0.6126,-0.015596,0.319829,-0.337545,-0.146770,-0.328577,-0.025338,-0.070699,-0.065952,-0.190225,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
747,-24.722,163.432,120.790,38.910,163.432,-59.210,-141.090,-24.674,163.535,120.765,38.906,0.103,0.0985,-11.0649,-0.0065,1.5461,10.8975,-0.0105,-1.5233,-0.296494,0.290771,0.155382,-0.344926,0.102616,-0.414954,0.378919,-0.313962,0.303179,-180.000,0.001,-0.032926,0.000,0.001,0.000002,0.000005,False,True
748,101.009,168.714,-27.077,2.835,168.714,152.923,-177.165,100.958,168.804,-27.253,2.838,0.176,0.0033,-7.9011,3.2770,-1.5496,7.8815,-3.2788,1.5496,0.064002,0.618123,-0.181087,-0.352908,0.070427,-0.129412,-0.106480,-0.232148,-0.033123,-180.000,0.000,-0.032928,0.000,-0.000,-0.000000,-0.000000,False,True
749,122.833,168.269,-122.594,-28.898,168.269,57.406,151.102,122.738,168.390,-122.570,-28.903,0.121,0.0322,-13.6319,-2.4765,1.8239,13.6223,2.4797,-1.8231,0.283812,0.719411,-0.242481,-0.352350,0.073168,-0.551514,-0.130746,-0.430649,-0.094308,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
750,-86.275,-166.752,-67.356,-89.773,-166.752,112.644,90.227,-86.265,-166.728,-67.454,-89.776,0.098,-0.0001,-5.9331,5.1445,1.5399,5.9292,-5.1483,-1.5382,0.013258,0.303765,-0.386700,-0.350290,-0.082468,-0.183186,-0.313387,-0.081211,-0.238975,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
